geo_point_2d,geo_shape,latitude,longitude,road_name,installed_year,range,type,date,easting,northing,projection,postcode,pc85th_kmh,volume_12h,volume_24h,comm_vhcl,peakvol,suburb_name,ward_name,gisfid
"-38.1383307907, 145.2560700431","{""coordinates"": [145.2560700431, -38.1383307907], ""type"": ""Point""}",-38.13833079071818,145.25607004313116,SETTLERS RUN,2018,Between 40km/h and 50km/h,W,2018-05-10,347170,5777401,MGA2020 zone 55,3977,45.6,1956,2419,4.99,8.76,BOTANIC RIDGE,BALLA BALLA,595
"-38.0743362795, 145.2491916303","{""coordinates"": [145.2491916303, -38.0743362795], ""type"": ""Point""}",-38.07433627953568,145.249191630325,MARRIOTT BOULEVARD,2018,More than 60km/h,W,2018-05-08,346433,5784491,MGA2020 zone 55,3975,60.4,2615,3362,7.1,13.1,LYNDHURST,MAYFIELD,596
"-38.0732905386, 145.3558507184","{""coordinates"": [145.3558507184, -38.0732905386], ""type"": ""Point""}",-38.07329053861777,145.35585071836516,WURUNDJERI BOULEVARD,2019,Between 50km/h and 60km/h,W,2019-04-01,355787,5784778,MGA2020 zone 55,3806,51.0,733,925,4.0,11.78,BERWICK,EDRINGTON,597
"-38.1085419193, 145.3041445624","{""coordinates"": [145.3041445624, -38.1085419193], ""type"": ""Point""}",-38.10854191928459,145.30414456238037,STATESMAN CIRCUIT,2019,Between 40km/h and 50km/h,W,2019-05-16,351323,5780785,MGA2020 zone 55,3977,47.0,137,155,4.2,34.19,CRANBOURNE EAST,MAYFIELD,598
"-38.0726781323, 145.3437578186","{""coordinates"": [145.3437578186, -38.0726781323], ""type"": ""Point""}",-38.072678132284445,145.343757818635,VIEWGRAND DRIVE,2018,Between 50km/h and 60km/h,W,2018-06-23,354725,5784827,MGA2020 zone 55,3806,57.8,2257,2654,2.91,17.78,BERWICK,EDRINGTON,600
"-38.019944634, 145.2791637497","{""coordinates"": [145.2791637497, -38.019944634], ""type"": ""Point""}",-38.01994463399509,145.2791637497355,RIMFIRE DRIVE,2018,Between 40km/h and 50km/h,W,2018-08-15,348951,5790576,MGA2020 zone 55,3803,48.0,376,441,23.7,12.02,HALLAM,RIVER GUM,601
"-38.0907359201, 145.283999178","{""coordinates"": [145.283999178, -38.0907359201], ""type"": ""Point""}",-38.09073592012164,145.28399917799175,KINGDOM DRIVE,2020,Between 50km/h and 60km/h,W,2020-02-13,349520,5782728,MGA2020 zone 55,3977,52.4,351,488,3.9,9.84,CRANBOURNE,MAYFIELD,604
"-38.1244823766, 145.3055710069","{""coordinates"": [145.3055710069, -38.1244823766], ""type"": ""Point""}",-38.12448237659094,145.30557100686778,DAWS STREET,2019,Between 30km/h and 40km/h,W,2019-05-22,351480,5779018,MGA2020 zone 55,3977,36.0,156,204,7.9,10.78,CRANBOURNE EAST,BALLA BALLA,605
"-38.0807875515, 145.3676950037","{""coordinates"": [145.3676950037, -38.0807875515], ""type"": ""Point""}",-38.08078755153092,145.36769500367387,GLENROSE BOULEVARD,2019,Between 40km/h and 50km/h,W,2019-11-12,356841,5783964,MGA2020 zone 55,3978,49.1,950,1327,2.94,9.3,CLYDE NORTH,EDRINGTON,607
"-38.1254765622, 145.3026506242","{""coordinates"": [145.3026506242, -38.1254765622], ""type"": ""Point""}",-38.12547656223993,145.30265062418982,NELSON STREET,2019,Between 50km/h and 60km/h,W,2019-02-14,351226,5778903,MGA2020 zone 55,3977,52.0,402,535,10.3,9.72,CRANBOURNE EAST,BALLA BALLA,610
"-38.1268417707, 145.3025180263","{""coordinates"": [145.3025180263, -38.1268417707], ""type"": ""Point""}",-38.12684177074111,145.30251802628854,NELSON STREET,2019,Between 50km/h and 60km/h,W,2019-02-14,351217,5778751,MGA2020 zone 55,3977,53.0,214,268,12.6,11.94,CRANBOURNE EAST,BALLA BALLA,611
"-38.1443361372, 145.2904436567","{""coordinates"": [145.2904436567, -38.1443361372], ""type"": ""Point""}",-38.14433613723301,145.29044365666402,HOMEVALE DRIVE,2018,Between 30km/h and 40km/h,W,2018-05-10,350195,5776791,MGA2020 zone 55,3977,36.1,875,1007,12.55,11.12,BOTANIC RIDGE,BALLA BALLA,613
"-38.1168482502, 145.3327260205","{""coordinates"": [145.3327260205, -38.1168482502], ""type"": ""Point""}",-38.116848250231506,145.33272602051716,EVERARD AVENUE,2020,Between 30km/h and 40km/h,W,2020-02-13,353845,5779908,MGA2020 zone 55,3978,30.7,42,55,0.0,9.09,CLYDE NORTH,EDRINGTON,614
"-38.0972888452, 145.3628844446","{""coordinates"": [145.3628844446, -38.0972888452], ""type"": ""Point""}",-38.09728884515988,145.36288444460183,CLOVIS AVENUE,2019,Between 40km/h and 50km/h,W,2019-05-21,356451,5782126,MGA2020 zone 55,3978,47.0,182,227,8.5,10.13,CLYDE NORTH,EDRINGTON,620
"-38.1255915481, 145.3198571216","{""coordinates"": [145.3198571216, -38.1255915481], ""type"": ""Point""}",-38.1255915481056,145.31985712159837,HEYBRIDGE STREET,2020,Between 40km/h and 50km/h,W,2020-02-13,352735,5778918,MGA2020 zone 55,3978,43.8,1099,1437,4.9,9.12,CLYDE,BALLA BALLA,621
"-38.0233672805, 145.2516655497","{""coordinates"": [145.2516655497, -38.0233672805], ""type"": ""Point""}",-38.02336728051041,145.2516655497104,OAKTREE DRIVE,2019,Between 50km/h and 60km/h,W,2019-03-20,346544,5790151,MGA2020 zone 55,3976,56.0,594,845,5.3,8.17,HAMPTON PARK,RIVER GUM,623
"-38.0341072543, 145.2547019834","{""coordinates"": [145.2547019834, -38.0341072543], ""type"": ""Point""}",-38.034107254321,145.25470198338147,FORDHOLM ROAD,2019,Between 40km/h and 50km/h,W,2019-05-30,346833,5788964,MGA2020 zone 55,3976,47.4,1110,1404,3.4,11.18,HAMPTON PARK,RIVER GUM,626
"-37.9934151548, 145.2779223891","{""coordinates"": [145.2779223891, -37.9934151548], ""type"": ""Point""}",-37.993415154820255,145.27792238911857,MACKELLAR CLOSE,2018,Between 50km/h and 60km/h,W,2018-06-22,348787,5793517,MGA2020 zone 55,3804,59.6,390,531,6.54,9.61,NARRE WARREN NORTH,FOUR OAKS,627
"-38.0348816004, 145.3199833402","{""coordinates"": [145.3199833402, -38.0348816004], ""type"": ""Point""}",-38.03488160042887,145.31998334024982,DARLING WAY,2019,Between 50km/h and 60km/h,W,2019-03-14,352564,5788984,MGA2020 zone 55,3805,57.7,1259,1715,6.71,9.33,NARRE WARREN,SPRINGFIELD,630
"-38.0291171627, 145.3496142558","{""coordinates"": [145.3496142558, -38.0291171627], ""type"": ""Point""}",-38.02911716274235,145.34961425577197,PEEL STREET,2018,Between 50km/h and 60km/h,W,2018-08-15,355153,5789670,MGA2020 zone 55,3806,55.0,2455,2813,5.9,12.33,BERWICK,EDRINGTON,633
"-37.9965812841, 145.2366267107","{""coordinates"": [145.2366267107, -37.9965812841], ""type"": ""Point""}",-37.996581284108814,145.23662671070792,OLEANDER STREET,2019,Between 40km/h and 50km/h,W,2019-02-14,345167,5793098,MGA2020 zone 55,3177,46.0,136,191,7.2,8.38,DOVETON,RIVER GUM,634
"-37.983076771, 145.2391121944","{""coordinates"": [145.2391121944, -37.983076771], ""type"": ""Point""}",-37.98307677101313,145.23911219442846,CONFERTA CRESCENT,2019,Between 40km/h and 50km/h,W,2019-03-13,345357,5794601,MGA2020 zone 55,3177,42.7,179,218,2.32,15.6,DOVETON,RIVER GUM,640
"-37.9902879522, 145.3294867593","{""coordinates"": [145.3294867593, -37.9902879522], ""type"": ""Point""}",-37.990287952204696,145.32948675926153,ARANMORE CRESCENT,2019,Between 50km/h and 60km/h,W,2019-08-26,353309,5793947,MGA2020 zone 55,3804,52.2,144,186,0.0,12.76,NARRE WARREN NORTH,FOUR OAKS,642
"-38.0241811505, 145.3514691247","{""coordinates"": [145.3514691247, -38.0241811505], ""type"": ""Point""}",-38.02418115054763,145.3514691247236,GARDINER STREET,2019,Between 50km/h and 60km/h,W,2019-03-13,355306,5790221,MGA2020 zone 55,3806,53.1,2692,3015,6.43,18.67,BERWICK,EDRINGTON,645
"-38.0241047864, 145.3291854018","{""coordinates"": [145.3291854018, -38.0241047864], ""type"": ""Point""}",-38.024104786355785,145.32918540176047,AVEBURY DRIVE,2018,Between 50km/h and 60km/h,W,2018-06-23,353350,5790194,MGA2020 zone 55,3806,59.2,1271,1573,4.52,9.54,BERWICK,EDRINGTON,646
"-38.0210387287, 145.3388190388","{""coordinates"": [145.3388190388, -38.0210387287], ""type"": ""Point""}",-38.02103872866198,145.33881903880342,AVEBURY DRIVE,2018,Between 50km/h and 60km/h,W,2018-06-23,354189,5790549,MGA2020 zone 55,3806,52.0,1213,1479,6.93,10.68,BERWICK,EDRINGTON,648
"-38.0293757799, 145.3407166795","{""coordinates"": [145.3407166795, -38.0293757799], ""type"": ""Point""}",-38.02937577992735,145.3407166795129,YORK ROAD,2019,Between 50km/h and 60km/h,W,2019-03-13,354373,5789627,MGA2020 zone 55,3806,55.3,452,562,4.06,10.85,BERWICK,EDRINGTON,649
"-38.0923299571, 145.251001134","{""coordinates"": [145.251001134, -38.0923299571], ""type"": ""Point""}",-38.092329957074504,145.25100113403778,FUTURES ROAD,2019,Between 50km/h and 60km/h,W,2019-05-17,346630,5782497,MGA2020 zone 55,3977,58.0,684,933,6.2,11.15,CRANBOURNE WEST,MAYFIELD,653
"-37.9878363942, 145.2602386623","{""coordinates"": [145.2602386623, -37.9878363942], ""type"": ""Point""}",-37.987836394245335,145.2602386623222,JAMES COOK DRIVE,2019,Between 50km/h and 60km/h,W,2019-05-17,347223,5794108,MGA2020 zone 55,3802,59.0,4136,5203,3.8,11.63,ENDEAVOUR HILLS,FOUR OAKS,655
"-38.0384684864, 145.2821314477","{""coordinates"": [145.2821314477, -38.0384684864], ""type"": ""Point""}",-38.03846848642383,145.2821314476909,LAURA DRIVE,2019,Between 50km/h and 60km/h,W,2019-05-30,349249,5788525,MGA2020 zone 55,3976,59.9,1892,2466,2.6,11.84,HAMPTON PARK,RIVER GUM,659
"-38.0307442424, 145.2734113557","{""coordinates"": [145.2734113557, -38.0307442424], ""type"": ""Point""}",-38.0307442423864,145.27341135565214,LAUREN DRIVE,2018,Between 50km/h and 60km/h,W,2018-11-13,348468,5789368,MGA2020 zone 55,3976,53.0,0,989,3.3,13.7,HAMPTON PARK,RIVER GUM,660
"-38.1014465409, 145.2888271438","{""coordinates"": [145.2888271438, -38.1014465409], ""type"": ""Point""}",-38.10144654092506,145.28882714379978,LOCH STREET,2018,Between 50km/h and 60km/h,W,2018-11-14,349965,5781547,MGA2020 zone 55,3977,55.3,0,813,3.3,10.5,CRANBOURNE,MAYFIELD,663
"-38.1013021616, 145.3112070435","{""coordinates"": [145.3112070435, -38.1013021616], ""type"": ""Point""}",-38.1013021616075,145.3112070435482,CASEY FIELDS BOULEVARD,2019,Between 50km/h and 60km/h,W,2019-09-20,351928,5781599,MGA2020 zone 55,3977,58.2,2942,3797,3.73,14.12,CRANBOURNE EAST,MAYFIELD,686
"-38.0290419767, 145.3008317621","{""coordinates"": [145.3008317621, -38.0290419767], ""type"": ""Point""}",-38.02904197672186,145.30083176205733,CENTRE ROAD - NARRE WARREN,2019,Between 40km/h and 50km/h,W,2019-05-29,350871,5789601,MGA2020 zone 55,3805,48.0,1481,2064,7.8,11.53,NARRE WARREN,SPRINGFIELD,687
"-38.2114899444, 145.3065091345","{""coordinates"": [145.3065091345, -38.2114899444], ""type"": ""Point""}",-38.21148994441825,145.30650913452544,CURRAWONG GROVE,2018,Between 40km/h and 50km/h,W,2018-08-16,351739,5769365,MGA2020 zone 55,3977,46.0,102,121,11.8,9.92,CANNONS CREEK,BALLA BALLA,688
"-38.0718170815, 145.3142869447","{""coordinates"": [145.3142869447, -38.0718170815], ""type"": ""Point""}",-38.071817081497144,145.31428694468528,GLASSCOCKS ROAD,2019,More than 60km/h,W,2019-08-27,352138,5784876,MGA2020 zone 55,3805,70.9,6517,8090,2.7,9.65,NARRE WARREN SOUTH,SPRINGFIELD,696
"-38.073877198, 145.3302243393","{""coordinates"": [145.3302243393, -38.073877198], ""type"": ""Point""}",-38.07387719798509,145.33022433925535,GLASSCOCKS ROAD,2019,More than 60km/h,W,2019-08-27,353540,5784673,MGA2020 zone 55,3977,69.1,9036,11877,2.8,9.17,CRANBOURNE NORTH,SPRINGFIELD,698
"-38.0052664135, 145.2966951185","{""coordinates"": [145.2966951185, -38.0052664135], ""type"": ""Point""}",-38.005266413478545,145.29669511848022,"JOSEPHINE AVENUE, NW",2019,Between 50km/h and 60km/h,W,2019-02-14,350460,5792233,MGA2020 zone 55,3805,54.0,1888,5074,2.1,16.69,NARRE WARREN,SPRINGFIELD,699
"-38.0006917407, 145.344903439","{""coordinates"": [145.344903439, -38.0006917407], ""type"": ""Point""}",-38.000691740687905,145.3449034389813,KING ROAD,2019,Between 50km/h and 60km/h,W,2019-03-19,354683,5792817,MGA2020 zone 55,3806,51.0,625,731,4.5,15.19,HARKAWAY,FOUR OAKS,701
"-38.0575368106, 145.3591736788","{""coordinates"": [145.3591736788, -38.0575368106], ""type"": ""Point""}",-38.05753681057868,145.35917367881467,KINGSMERE DRIVE,2020,Between 50km/h and 60km/h,W,2020-02-13,356048,5786531,MGA2020 zone 55,3806,50.0,3548,4758,2.54,8.51,BERWICK,EDRINGTON,702
"-37.955555015, 145.2500985841","{""coordinates"": [145.2500985841, -37.955555015], ""type"": ""Point""}",-37.95555501500598,145.25009858411102,POWER ROAD,2020,More than 60km/h,W,2020-07-14,346265,5797673,MGA2020 zone 55,3802,82.8,4707,5764,3.98,11.57,ENDEAVOUR HILLS,FOUR OAKS,710
"-38.0272502576, 145.3113128549","{""coordinates"": [145.3113128549, -38.0272502576], ""type"": ""Point""}",-38.0272502576363,145.3113128549159,PRINCES HIGHWAY SERV. RD,2018,Between 50km/h and 60km/h,W,2018-03-02,351787,5789817,MGA2020 zone 55,3805,55.1,465,535,2.89,14.21,NARRE WARREN,SPRINGFIELD,711
"-38.0277949434, 145.3160469107","{""coordinates"": [145.3160469107, -38.0277949434], ""type"": ""Point""}",-38.02779494337698,145.31604691068233,PRINCES HIGHWAY SERV. RD,2018,Between 50km/h and 60km/h,W,2018-03-02,352204,5789764,MGA2020 zone 55,3805,50.8,403,467,5.03,16.06,NARRE WARREN,SPRINGFIELD,712
"-38.0995816623, 145.2965317722","{""coordinates"": [145.2965317722, -38.0995816623], ""type"": ""Point""}",-38.099581662339624,145.2965317721547,ROCHESTER PARADE,2018,Between 40km/h and 50km/h,W,2018-07-10,350637,5781767,MGA2020 zone 55,3977,42.0,1577,1963,5.3,10.64,CRANBOURNE EAST,MAYFIELD,716
"-38.0760192802, 145.2868684734","{""coordinates"": [145.2868684734, -38.0760192802], ""type"": ""Point""}",-38.07601928017529,145.2868684733823,ROSEBANK DRIVE,2019,Between 50km/h and 60km/h,W,2019-02-26,349742,5784366,MGA2020 zone 55,3977,54.8,3628,4509,2.55,12.51,CRANBOURNE NORTH,MAYFIELD,719
"-38.0145305452, 145.3111079336","{""coordinates"": [145.3111079336, -38.0145305452], ""type"": ""Point""}",-38.014530545234294,145.31110793360844,RYELANDS DRIVE,2018,Between 50km/h and 60km/h,W,2018-06-22,351744,5791228,MGA2020 zone 55,3805,51.1,6924,8914,4.11,10.8,NARRE WARREN,FOUR OAKS,720
"-38.1358337325, 145.2945816453","{""coordinates"": [145.2945816453, -38.1358337325], ""type"": ""Point""}",-38.13583373249281,145.29458164528583,CRAIG ROAD JUNCTION VILLAGE,2019,More than 60km/h,W,2019-05-16,350540,5777741,MGA2020 zone 55,3977,68.0,6345,7816,11.3,9.69,JUNCTION VILLAGE,BALLA BALLA,722
"-38.0634767448, 145.3418500268","{""coordinates"": [145.3418500268, -38.0634767448], ""type"": ""Point""}",-38.0634767448418,145.34185002677754,CRESTHAVEN BOULEVARD,2019,Between 50km/h and 60km/h,W,2019-02-23,354540,5785845,MGA2020 zone 55,3806,55.3,4189,4951,3.46,14.74,BERWICK,EDRINGTON,723
"-38.1150537039, 145.2917167283","{""coordinates"": [145.2917167283, -38.1150537039], ""type"": ""Point""}",-38.11505370385716,145.29171672830992,JAGGER CIRCUIT,2018,Between 40km/h and 50km/h,W,2018-09-12,350247,5780042,MGA2020 zone 55,3977,41.9,155,197,9.25,11.68,CRANBOURNE EAST,BALLA BALLA,724
"-38.0931506283, 145.25176644","{""coordinates"": [145.25176644, -38.0931506283], ""type"": ""Point""}",-38.093150628333035,145.25176644004986,MORIALTA ROAD,2019,Between 40km/h and 50km/h,W,2019-05-17,346698,5782407,MGA2020 zone 55,3977,47.0,499,635,7.6,12.44,CRANBOURNE WEST,MAYFIELD,728
